Store,Date,Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment
1,2010-01-10,1453329.5,71.89,2.603,211.6719895,7.838
1,2010-02-04,1594968.28,62.27,2.719,210.8204499,7.808
1,2010-02-07,1492418.14,80.91,2.669,211.2235333,7.787
1,2010-02-19,1611968.17,39.93,2.514,211.2891429,8.106
1,2010-02-26,1409727.59,46.63,2.561,211.3196429,8.106
1,2010-03-09,1540163.53,81.21,2.577,211.5312479,7.787
1,2010-03-12,1548033.78,49.27,2.708,211.607193,7.838
1,2010-03-19,1472515.79,54.58,2.72,211.215635,8.106
1,2010-03-26,1404429.92,51.45,2.732,211.0180424,8.106
1,2010-04-06,1615524.71,80.69,2.705,211.1764278,7.808
1,2010-04-16,1466058.28,66.32,2.808,210.4887,7.808
1,2010-04-23,1391256.12,64.84,2.795,210.4391228,7.808
1,2010-04-30,1425100.71,67.41,2.78,210.3895456,7.808
1,2010-05-02,1643690.9,42.31,2.572,211.0963582,8.106
1,2010-05-03,1554806.68,46.5,2.625,211.3501429,8.106
1,2010-05-11,1551659.28,58.74,2.689,211.9563939,7.838
1,2010-05-14,1494251.5,74.78,2.854,210.3374261,7.808
1,2010-05-21,1399662.07,76.44,2.826,210.6170934,7.808
1,2010-05-28,1432069.95,80.44,2.759,210.8967606,7.808
1,2010-06-08,1605491.78,87.16,2.627,211.5046621,7.787
1,2010-06-18,1503284.06,84.11,2.637,211.4537719,7.808
1,2010-06-25,1422711.6,84.34,2.653,211.3386526,7.808
1,2010-07-05,1603955.12,72.55,2.835,210.3399684,7.808
1,2010-07-16,1448938.92,83.15,2.623,211.1003854,7.787
1,2010-07-23,1385065.2,83.36,2.608,211.2351443,7.787
1,2010-07-30,1371986.6,81.84,2.64,211.3699032,7.787
1,2010-08-10,1508239.93,63.93,2.633,211.7467544,7.838
1,2010-08-13,1508237.76,87.0,2.692,211.6394211,7.787
1,2010-08-20,1513080.49,86.65,2.664,211.6033633,7.787
1,2010-08-27,1449142.92,85.22,2.619,211.5673056,7.787
1,2010-09-04,1545418.53,65.86,2.77,210.6228574,7.808
1,2010-09-07,1546074.18,80.48,2.642,211.108414,7.787
1,2010-09-17,1430378.67,82.11,2.582,211.5224596,7.787
1,2010-09-24,1351791.03,80.94,2.624,211.5972246,7.787
1,2010-10-09,1507460.69,78.69,2.565,211.4951902,7.787
1,2010-10-12,1682614.26,46.33,2.843,211.4659526,7.838
1,2010-10-15,1459409.1,67.18,2.72,211.8137436,7.838
1,2010-10-22,1345454.0,69.86,2.725,211.8612937,7.838
1,2010-10-29,1384209.22,69.64,2.716,211.9088438,7.838
1,2010-11-06,1542561.09,80.43,2.668,211.4560951,7.808
1,2010-11-19,1483784.18,51.41,2.771,211.8896737,7.838
1,2010-11-26,1955624.11,64.52,2.735,211.7484333,7.838
1,2010-12-02,1641957.44,38.51,2.548,211.2421698,8.106
1,2010-12-03,1439541.59,57.79,2.667,211.3806429,8.106
1,2010-12-11,1494479.49,59.61,2.728,212.003944,7.838
1,2010-12-17,1891034.93,49.84,2.869,211.4053124,7.838
1,2010-12-24,2387950.2,52.33,2.886,211.4051222,7.838
1,2010-12-31,1367320.01,48.43,2.943,211.4049321,7.838
1,2011-01-04,1495064.75,59.17,3.524,214.8371664,7.682
1,2011-01-07,1488538.09,85.55,3.524,215.1841368,7.962
1,2011-01-14,1391013.96,35.4,2.983,211.4574109,7.742
1,2011-01-21,1327405.42,44.04,3.016,211.8272343,7.742
1,2011-01-28,1316899.31,43.83,3.01,212.1970577,7.742
1,2011-02-09,1550229.22,87.83,3.533,215.7971409,7.962
1,2011-02-12,1584083.95,48.91,3.172,218.7147333,7.866
1,2011-02-18,1686842.78,57.36,3.045,213.2478853,7.742
1,2011-02-25,1456800.28,62.9,3.065,213.535609,7.742
1,2011-03-06,1635078.41,83.0,3.699,215.2736553,7.682
